simplified_name	titulo	autor	nivel_educativo	materia	tipo	idioma	ilustraciones	genero	pagina	tamano	deposito_legal	isbn	edad	ficha_didactica
mientras_crecemos	Mientras crecemos	Roger Otero Lorent	PRIMARIA	LITERATURA	OBRA_LITERARIA	ESPANOL	Yanine Senzano Cuéllar	NOVELA_INFANTIL_JUVENIL	126.0	15 x 21 cm	8-1-2822-15	978-99974-53-27-3	TODO_PUBLICO	YES
mil_nombres	Mil nombres	Ezequiel Dellutri	SECUNDARIA	LITERATURA	OBRA_LITERARIA	ESPANOL	Alejandra Gonzalez	NOVELA_INFANTIL_JUVENIL	112.0		8-1-3115-2022	978-9917-0-2019-6	TODO_PUBLICO	YES
no_me_gusta_aplaudir	No me gusta aplaudir	Roger Otero Lorent	PRIMARIA	LITERATURA	OBRA_LITERARIA	ESPANOL	Facundo M. Vera	RELATO_INFANTIL	60.0	14 x 21 cm	8-1-3114-2022	978-9917-0-2018-9	TODO_PUBLICO	YES
prisioneros	Prisioneros	Ezequiel Dellutri	SECUNDARIA	LITERATURA	OBRA_LITERARIA	ESPANOL		NOVELA_JUVENIL	110.0		8-1-3116-2022	978-9917-0-2020-2	TODO_PUBLICO	YES
que_asco	¡Qué asco!	Ezequiel Dellutri	PRIMARIA	LITERATURA	OBRA_LITERARIA	ESPANOL	Yanine Senzano Cuéllar	NOVELA_INFANTIL_JUVENIL	106.0	15 x 21 cm	8-1-2062-18	978-99974-0-238-7	TODO_PUBLICO	YES
quien_mato_al_mayordomo	¡Quién mató al mayordomo?	Roger Otero Lorent	SECUNDARIA	LITERATURA	OBRA_LITERARIA	ESPANOL		CUENTOS_JUVENILES	76.0		8-1-3110-2022	978-9917-0-2021-9	A_PARTIR_DE_12_ANOS_DE_EDAD	YES
quiero_ganar	Quiero ganar	Roger Otero Lorent	SECUNDARIA	LITERATURA	OBRA_LITERARIA	ESPANOL		NOVELA_JUVENIL	150.0	14 x 21 cm			A_PARTIR_DE_12_ANOS_DE_EDAD	YES
sobre_la_convergencia	Sobre la convergencia	Ezequiel Dellutri	SECUNDARIA	LITERATURA	OBRA_LITERARIA	ESPANOL		NOVELA_JUVENIL	158.0	14 x 21 cm	8-1-2613-19	978-99974-0-997-3	TODO_PUBLICO	YES
sobre_los_inmortales	Sobre los inmortales	Ezequiel Dellutri	SECUNDARIA	LITERATURA	OBRA_LITERARIA	ESPANOL		NOVELA_JUVENIL	115.0	15 x 21 cm	8-1-2613-19	978-99974-0-997-3	TODO_PUBLICO	YES
solo_basta_un_parpadeo	Solo basta un parpadeo	Polina Maya	SECUNDARIA	LITERATURA	OBRA_LITERARIA	ESPANOL		NOVELA_JUVENIL	100.0		8-1-3111-2022	978-9917-0-2022-6	A_PARTIR_DE_12_ANOS_DE_EDAD	YES
sustos_de_medianoche	Sustos de medianoche	Roger Otero Lorent	PRIMARIA	LITERATURA	OBRA_LITERARIA	ESPANOL	Juanita Golondrina	CUENTO_INFANTIL	72.0	15 x 21 cm	8-1-2613-19	978-99974-0-997-3	TODO_PUBLICO	YES
thats_just_how_life_is	That’s just how life is	Roger Otero Lorent	PRIMARIA	LITERATURA	OBRA_LITERARIA	INGLES		NOVELA_INFANTIL_JUVENIL	102.0	14 x 20 cm			TODO_PUBLICO	YES
the_heraclitus_syndrome	The Heraclitus Syndrome	Roger Otero Lorent	SECUNDARIA	LITERATURA	OBRA_LITERARIA	INGLES		CUENTOS_JUVENILES	110.0	14 x 20 cm			TODO_PUBLICO	YES
un_paseo_por_las_letras	Un paseo por las letras	Mariana López Acebedo	PRIMARIA	LITERATURA	OBRA_LITERARIA	ESPANOL	Sandra D.	CUENTOS_INFANTILES	78.0	14 x 21 cm	8-1-2421-2023	978-9917-0-2752-2	TODO_PUBLICO	YES
una_cita_con_dios	Una cita con Dios	Roger Otero Lorent	PRIMARIA	LITERATURA	OBRA_LITERARIA	ESPANOL	Genesis Gelbes	CUENTOS_INFANTILES_CONTRA_LA_VIOLENCIA	96.0	15 x 21 cm	8-1-2613-19	978-99974-0-997-3	TODO_PUBLICO	YES
una_historia_sencilla_y_atroz	Una historia sencilla y atroz	Jorge Arancibia	SECUNDARIA	LITERATURA	OBRA_LITERARIA	ESPANOL		NOVELA_JUVENIL	102.0		8-1-2422-2023	978-9917-0-2755-3	A_PARTIR_DE_12_ANOS_DE_EDAD	YES
una_historia_sobre_el_fin_del_mundo	Una historia sobre el fin del mundo	Jorge Arancibia	SECUNDARIA	LITERATURA	OBRA_LITERARIA	ESPANOL		NOVELA_JUVENIL	128.0	14 x 21 cm			A_PARTIR_DE_12_ANOS_DE_EDAD	YES
una_jaula_para_anibal	Una jaula para Aníbal	Roger Otero Lorent	PRIMARIA	LITERATURA	OBRA_LITERARIA	ESPANOL	Juanita Golondrina	CUENTOS_INFANTILES_CONTRA_LA_VIOLENCIA	90.0	15 x 21 cm	8-1-2511-19	978-99974-0-998-0	TODO_PUBLICO	YES
uningenuo_y_los_dragones	Uningenuo y los dragones	Roger Otero Lorent	PRIMARIA	LITERATURA	OBRA_LITERARIA	ESPANOL	Juanita Golondrina	CUENTO_INFANTIL	90.0	15 x 21 cm	8-1-2613-19	978-99974-0-997-3	TODO_PUBLICO	YES
voces_en_conflicto	Voces en conflicto	María del Carmen Cuevas H.	SECUNDARIA	LITERATURA	OBRA_LITERARIA	ESPANOL		NOVELA_JUVENIL	116.0		8-1-2423-2023	978-9917-0-2753-9	A_PARTIR_DE_12_ANOS_DE_EDAD	YES
xq	XQ	Roger Otero Lorent	SECUNDARIA	LITERATURA	OBRA_LITERARIA	ESPANOL		NOVELA_JUVENIL	98.0	14 x 20 cm			TODO_PUBLICO	YES
lenguaje_y_comunicacion-1-primaria	Lenguaje y Comunicación 1 Primaria	Varios	PRIMARIA	LITERATURA	TEXTO_EDUCATIVO	ESPANOL								
lenguaje_y_comunicacion-2-primaria	Lenguaje y Comunicación 2 Primaria	Varios	PRIMARIA	LITERATURA	TEXTO_EDUCATIVO	ESPANOL								
lenguaje_y_comunicacion-3-primaria	Lenguaje y Comunicación 3 Primaria	Varios	PRIMARIA	LITERATURA	TEXTO_EDUCATIVO	ESPANOL								
lenguaje_y_comunicacion-4-primaria	Lenguaje y Comunicación 4 Primaria	Varios	PRIMARIA	LITERATURA	TEXTO_EDUCATIVO	ESPANOL								
lenguaje_y_comunicacion-5-primaria	Lenguaje y Comunicación 5 Primaria	Varios	PRIMARIA	LITERATURA	TEXTO_EDUCATIVO	ESPANOL								
lenguaje_y_comunicacion-6-primaria	Lenguaje y Comunicación 6 Primaria	Varios	PRIMARIA	LITERATURA	TEXTO_EDUCATIVO	ESPANOL								
comunicacion_y_lenguaje-1-secundaria	Comunicación y Lenguaje 1 Secundaria	Varios	SECUNDARIA	LITERATURA	TEXTO_EDUCATIVO	ESPANOL								
comunicacion_y_lenguaje-2-secundaria	Comunicación y Lenguaje 2 Secundaria	Varios	SECUNDARIA	LITERATURA	TEXTO_EDUCATIVO	ESPANOL								
comunicacion_y_lenguaje-3-secundaria	Comunicación y Lenguaje 3 Secundaria	Varios	SECUNDARIA	LITERATURA	TEXTO_EDUCATIVO	ESPANOL								
comunicacion_y_lenguaje-4-secundaria	Comunicación y Lenguaje 4 Secundaria	Varios	SECUNDARIA	LITERATURA	TEXTO_EDUCATIVO	ESPANOL								
comunicacion_y_lenguaje-5-secundaria	Comunicación y Lenguaje 5 Secundaria	Varios	SECUNDARIA	LITERATURA	TEXTO_EDUCATIVO	ESPANOL								
comunicacion_y_lenguaje-6-secundaria	Comunicación y Lenguaje 6 Secundaria	Varios	SECUNDARIA	LITERATURA	TEXTO_EDUCATIVO	ESPANOL								
aprendamos_jugando	Aprendamos jugando	Roger Otero Lorent	INICIAL	EDUCACION_FISICA	TEXTO_EDUCATIVO	ESPANOL								
educacion_fisica_deportes_y_recreacion-1-primaria	Educación Física, Deportes y Recreación 1 Primaria	Varios	PRIMARIA	EDUCACION_FISICA	TEXTO_EDUCATIVO	ESPANOL								
educacion_fisica_deportes_y_recreacion-2-primaria	Educación Física, Deportes y Recreación 2 Primaria	Varios	PRIMARIA	EDUCACION_FISICA	TEXTO_EDUCATIVO	ESPANOL								
educacion_fisica_deportes_y_recreacion-3-primaria	Educación Física, Deportes y Recreación 3 Primaria	Varios	PRIMARIA	EDUCACION_FISICA	TEXTO_EDUCATIVO	ESPANOL								
educacion_fisica_deportes_y_recreacion-4-primaria	Educación Física, Deportes y Recreación 4 Primaria	Varios	PRIMARIA	EDUCACION_FISICA	TEXTO_EDUCATIVO	ESPANOL								
educacion_fisica_deportes_y_recreacion-5-primaria	Educación Física, Deportes y Recreación 5 Primaria	Varios	PRIMARIA	EDUCACION_FISICA	TEXTO_EDUCATIVO	ESPANOL								
educacion_fisica_deportes_y_recreacion-6-primaria	Educación Física, Deportes y Recreación 6 Primaria	Varios	PRIMARIA	EDUCACION_FISICA	TEXTO_EDUCATIVO	ESPANOL								
educacion_fisica_deportes_y_recreacion-1-secundaria	Educación Física, Deportes y Recreación 1 Secundaria	Varios	SECUNDARIA	EDUCACION_FISICA	TEXTO_EDUCATIVO	ESPANOL								
educacion_fisica_deportes_y_recreacion-2-secundaria	Educación Física, Deportes y Recreación 2 Secundaria	Varios	SECUNDARIA	EDUCACION_FISICA	TEXTO_EDUCATIVO	ESPANOL								
